currency,value,rated_at
EUR,1.0,2013-12-29
MXN,17.98,2013-12-29
PEN,3.86,2013-12-29
PYG,6339.59,2013-12-29
USD,1.38,2013-12-29
UYU,29.35,2013-12-29
VEF,8.66,2013-12-29
ARS,9.0,2013-12-30
BRL,3.25,2013-12-30
CLP,724.85,2013-12-30
COP,2657.95,2013-12-30
CRC,692.0,2013-12-30
DOP,58.78,2013-12-30
EUR,1.0,2013-12-30
MXN,18.03,2013-12-30
PEN,3.86,2013-12-30
PYG,6354.99,2013-12-30
USD,1.38,2013-12-30
UYU,29.34,2013-12-30
VEF,8.68,2013-12-30
ARS,8.96,2013-12-31
BRL,3.25,2013-12-31
CLP,722.74,2013-12-31
COP,2652.31,2013-12-31
CRC,689.33,2013-12-31
DOP,58.73,2013-12-31
EUR,1.0,2013-12-31
MXN,17.94,2013-12-31
PEN,3.85,2013-12-31
PYG,6327.3,2013-12-31
USD,1.38,2013-12-31
UYU,29.22,2013-12-31
VEF,8.66,2013-12-31
ARS,8.96,2014-01-01
BRL,3.25,2014-01-01
CLP,723.44,2014-01-01
COP,2653.98,2014-01-01
CRC,688.96,2014-01-01
DOP,58.68,2014-01-01
EUR,1.0,2014-01-01
MXN,17.96,2014-01-01
PEN,3.85,2014-01-01
PYG,6324.58,2014-01-01
USD,1.38,2014-01-01
UYU,29.19,2014-01-01
VEF,8.65,2014-01-01
ARS,8.94,2014-01-02
BRL,3.26,2014-01-02
CLP,722.42,2014-01-02
COP,2647.82,2014-01-02
CRC,684.77,2014-01-02
DOP,58.36,2014-01-02
EUR,1.0,2014-01-02
MXN,17.96,2014-01-02
PEN,3.83,2014-01-02
PYG,6293.08,2014-01-02
USD,1.37,2014-01-02
UYU,28.99,2014-01-02
VEF,8.6,2014-01-02
ARS,8.9,2014-01-03
BRL,3.23,2014-01-03
CLP,719.46,2014-01-03
COP,2635.28,2014-01-03
CRC,680.37,2014-01-03
DOP,58.02,2014-01-03
EUR,1.0,2014-01-03
MXN,17.8,2014-01-03
PEN,3.81,2014-01-03
PYG,6276.07,2014-01-03
USD,1.36,2014-01-03
UYU,28.76,2014-01-03
VEF,8.55,2014-01-03
ARS,8.91,2014-01-04
BRL,3.23,2014-01-04
CLP,719.32,2014-01-04
COP,2634.02,2014-01-04
CRC,680.42,2014-01-04
DOP,58.01,2014-01-04
EUR,1.0,2014-01-04
MXN,17.81,2014-01-04
PEN,3.81,2014-01-04
PYG,6276.67,2014-01-04
USD,1.36,2014-01-04
UYU,28.75,2014-01-04
VEF,8.55,2014-01-04
ARS,8.92,2014-01-05
BRL,3.23,2014-01-05
CLP,720.18,2014-01-05
COP,2636.12,2014-01-05
CRC,681.99,2014-01-05
DOP,58.15,2014-01-05
EUR,1.0,2014-01-05
MXN,17.81,2014-01-05
PEN,3.82,2014-01-05
PYG,6287.37,2014-01-05
USD,1.36,2014-01-05
UYU,28.8,2014-01-05
VEF,8.55,2014-01-05
ARS,8.98,2014-01-06
BRL,3.24,2014-01-06
CLP,724.5,2014-01-06
COP,2642.57,2014-01-06
CRC,683.03,2014-01-06
DOP,58.23,2014-01-06
EUR,1.0,2014-01-06
MXN,17.84,2014-01-06
PEN,3.82,2014-01-06
PYG,6304.25,2014-01-06
USD,1.36,2014-01-06
UYU,28.88,2014-01-06
VEF,8.58,2014-01-06
ARS,8.98,2014-01-07
BRL,3.23,2014-01-07
CLP,722.88,2014-01-07
COP,2630.53,2014-01-07
CRC,683.93,2014-01-07
DOP,58.2,2014-01-07
EUR,1.0,2014-01-07
MXN,17.74,2014-01-07
PEN,3.82,2014-01-07
PYG,6284.73,2014-01-07
USD,1.36,2014-01-07
UYU,28.82,2014-01-07
VEF,8.57,2014-01-07
ARS,8.96,2014-01-08
BRL,3.24,2014-01-08
CLP,724.57,2014-01-08
COP,2622.89,2014-01-08
CRC,679.9,2014-01-08
DOP,58.0,2014-01-08
EUR,1.0,2014-01-08
MXN,17.82,2014-01-08
PEN,3.81,2014-01-08
PYG,6252.33,2014-01-08
USD,1.36,2014-01-08
UYU,28.65,2014-01-08
VEF,8.54,2014-01-08
ARS,9.01,2014-01-09
BRL,3.25,2014-01-09
CLP,725.63,2014-01-09
COP,2629.28,2014-01-09
CRC,680.8,2014-01-09
DOP,58.15,2014-01-09
EUR,1.0,2014-01-09
MXN,17.8,2014-01-09
PEN,3.82,2014-01-09
PYG,6272.11,2014-01-09
USD,1.36,2014-01-09
UYU,28.75,2014-01-09
VEF,8.56,2014-01-09
ARS,9.09,2014-01-10
BRL,3.23,2014-01-10
CLP,725.17,2014-01-10
COP,2635.84,2014-01-10
CRC,684.14,2014-01-10
DOP,58.31,2014-01-10
EUR,1.0,2014-01-10
MXN,17.77,2014-01-10
PEN,3.83,2014-01-10
PYG,6304.03,2014-01-10
USD,1.37,2014-01-10
UYU,28.92,2014-01-10
VEF,8.6,2014-01-10
ARS,9.09,2014-01-11
BRL,3.23,2014-01-11
CLP,724.28,2014-01-11
COP,2631.04,2014-01-11
CRC,684.08,2014-01-11
DOP,58.33,2014-01-11
EUR,1.0,2014-01-11
MXN,17.75,2014-01-11
PEN,3.83,2014-01-11
PYG,6302.99,2014-01-11
USD,1.37,2014-01-11
UYU,28.92,2014-01-11
VEF,8.6,2014-01-11
ARS,9.07,2014-01-12
BRL,3.22,2014-01-12
CLP,724.14,2014-01-12
COP,2631.23,2014-01-12
CRC,681.9,2014-01-12
DOP,58.11,2014-01-12
EUR,1.0,2014-01-12
MXN,17.73,2014-01-12
PEN,3.82,2014-01-12
PYG,6294.43,2014-01-12
USD,1.37,2014-01-12
UYU,28.86,2014-01-12
VEF,8.6,2014-01-12
ARS,9.11,2014-01-13
BRL,3.22,2014-01-13
CLP,721.9,2014-01-13
COP,2633.41,2014-01-13
CRC,682.57,2014-01-13
DOP,58.37,2014-01-13
EUR,1.0,2014-01-13
MXN,17.86,2014-01-13
PEN,3.82,2014-01-13
PYG,6294.21,2014-01-13
USD,1.37,2014-01-13
UYU,28.89,2014-01-13
VEF,8.6,2014-01-13
ARS,9.16,2014-01-14
BRL,3.22,2014-01-14
CLP,722.63,2014-01-14
COP,2642.65,2014-01-14
CRC,682.55,2014-01-14
DOP,58.48,2014-01-14
EUR,1.0,2014-01-14
MXN,17.87,2014-01-14
PEN,3.83,2014-01-14
PYG,6304.59,2014-01-14
USD,1.37,2014-01-14
UYU,28.87,2014-01-14
VEF,8.61,2014-01-14
ARS,9.12,2014-01-15
BRL,3.21,2014-01-15
CLP,720.15,2014-01-15
COP,2639.25,2014-01-15
CRC,680.35,2014-01-15
DOP,58.22,2014-01-15
EUR,1.0,2014-01-15
MXN,17.93,2014-01-15
PEN,3.82,2014-01-15
PYG,6280.39,2014-01-15
USD,1.36,2014-01-15
UYU,28.89,2014-01-15
VEF,8.56,2014-01-15
ARS,9.21,2014-01-16
BRL,3.21,2014-01-16
CLP,725.27,2014-01-16
COP,2652.22,2014-01-16
CRC,680.8,2014-01-16
DOP,58.43,2014-01-16
EUR,1.0,2014-01-16
MXN,18.03,2014-01-16
PEN,3.82,2014-01-16
PYG,6294.95,2014-01-16
USD,1.36,2014-01-16
UYU,28.94,2014-01-16
VEF,8.57,2014-01-16
ARS,9.18,2014-01-17
BRL,3.18,2014-01-17
CLP,729.14,2014-01-17
COP,2652.69,2014-01-17
CRC,676.86,2014-01-17
DOP,58.02,2014-01-17
EUR,1.0,2014-01-17
MXN,17.93,2014-01-17
PEN,3.8,2014-01-17
PYG,6260.69,2014-01-17
USD,1.35,2014-01-17
UYU,28.86,2014-01-17
VEF,8.52,2014-01-17
ARS,9.2,2014-01-18
BRL,3.18,2014-01-18
CLP,730.44,2014-01-18
COP,2656.57,2014-01-18
CRC,676.93,2014-01-18
DOP,58.02,2014-01-18
EUR,1.0,2014-01-18
MXN,17.94,2014-01-18
PEN,3.8,2014-01-18
PYG,6259.76,2014-01-18
USD,1.35,2014-01-18
UYU,28.9,2014-01-18
VEF,8.52,2014-01-18
ARS,9.2,2014-01-19
BRL,3.18,2014-01-19
CLP,729.29,2014-01-19
COP,2659.02,2014-01-19
CRC,678.0,2014-01-19
DOP,58.05,2014-01-19
EUR,1.0,2014-01-19
MXN,17.91,2014-01-19
PEN,3.81,2014-01-19
PYG,6267.52,2014-01-19
USD,1.35,2014-01-19
UYU,28.93,2014-01-19
VEF,8.51,2014-01-19
ARS,9.25,2014-01-20
BRL,3.18,2014-01-20
CLP,733.02,2014-01-20
COP,2667.58,2014-01-20
CRC,677.69,2014-01-20
DOP,58.03,2014-01-20
EUR,1.0,2014-01-20
MXN,17.95,2014-01-20
PEN,3.81,2014-01-20
PYG,6285.09,2014-01-20
USD,1.36,2014-01-20
UYU,28.88,2014-01-20
VEF,8.53,2014-01-20
ARS,9.32,2014-01-21
BRL,3.2,2014-01-21
CLP,737.24,2014-01-21
COP,2682.37,2014-01-21
CRC,678.53,2014-01-21
DOP,58.16,2014-01-21
EUR,1.0,2014-01-21
MXN,18.0,2014-01-21
PEN,3.81,2014-01-21
PYG,6280.66,2014-01-21
USD,1.36,2014-01-21
UYU,28.92,2014-01-21
VEF,8.53,2014-01-21
ARS,9.38,2014-01-22
BRL,3.21,2014-01-22
CLP,735.08,2014-01-22
COP,2689.59,2014-01-22
CRC,677.84,2014-01-22
DOP,58.07,2014-01-22
EUR,1.0,2014-01-22
MXN,18.02,2014-01-22
PEN,3.8,2014-01-22
PYG,6280.09,2014-01-22
USD,1.35,2014-01-22
UYU,28.94,2014-01-22
VEF,8.53,2014-01-22
ARS,9.45,2014-01-23
BRL,3.28,2014-01-23
CLP,750.18,2014-01-23
COP,2730.01,2014-01-23
CRC,686.22,2014-01-23
DOP,58.65,2014-01-23
EUR,1.0,2014-01-23
MXN,18.31,2014-01-23
PEN,3.85,2014-01-23
PYG,6354.75,2014-01-23
USD,1.37,2014-01-23
UYU,29.26,2014-01-23
VEF,8.61,2014-01-23
ARS,9.43,2014-01-24
BRL,3.28,2014-01-24
CLP,752.13,2014-01-24
COP,2730.94,2014-01-24
CRC,686.32,2014-01-24
DOP,58.61,2014-01-24
EUR,1.0,2014-01-24
MXN,18.38,2014-01-24
PEN,3.86,2014-01-24
PYG,6353.55,2014-01-24
USD,1.37,2014-01-24
UYU,29.56,2014-01-24
VEF,8.61,2014-01-24
ARS,10.92,2014-01-25
BRL,3.28,2014-01-25
CLP,752.95,2014-01-25
COP,2731.76,2014-01-25
CRC,686.68,2014-01-25
DOP,58.58,2014-01-25
EUR,1.0,2014-01-25
MXN,18.4,2014-01-25
PEN,3.86,2014-01-25
PYG,6353.4,2014-01-25
USD,1.37,2014-01-25
UYU,29.55,2014-01-25
VEF,8.61,2014-01-25
ARS,10.9,2014-01-26
BRL,3.28,2014-01-26
CLP,753.03,2014-01-26
COP,2731.7,2014-01-26
CRC,687.77,2014-01-26
DOP,58.69,2014-01-26
EUR,1.0,2014-01-26
MXN,18.39,2014-01-26
PEN,3.86,2014-01-26
PYG,6368.73,2014-01-26
USD,1.37,2014-01-26
UYU,29.61,2014-01-26
VEF,8.61,2014-01-26
ARS,10.9,2014-01-27
BRL,3.31,2014-01-27
CLP,751.31,2014-01-27
COP,2741.85,2014-01-27
CRC,686.7,2014-01-27
DOP,58.72,2014-01-27
EUR,1.0,2014-01-27
MXN,18.3,2014-01-27
PEN,3.86,2014-01-27
PYG,6375.89,2014-01-27
USD,1.37,2014-01-27
UYU,29.72,2014-01-27
VEF,8.6,2014-01-27
ARS,10.92,2014-01-28
BRL,3.31,2014-01-28
CLP,746.94,2014-01-28
COP,2734.73,2014-01-28
CRC,687.48,2014-01-28
DOP,58.69,2014-01-28
EUR,1.0,2014-01-28
MXN,18.07,2014-01-28
PEN,3.85,2014-01-28
PYG,6381.21,2014-01-28
USD,1.37,2014-01-28
UYU,29.89,2014-01-28
VEF,8.59,2014-01-28
ARS,10.92,2014-01-29
BRL,3.33,2014-01-29
CLP,750.28,2014-01-29
COP,2742.99,2014-01-29
CRC,689.28,2014-01-29
DOP,58.67,2014-01-29
EUR,1.0,2014-01-29
MXN,18.3,2014-01-29
PEN,3.86,2014-01-29
PYG,6387.06,2014-01-29
USD,1.37,2014-01-29
UYU,29.78,2014-01-29
VEF,8.6,2014-01-29
ARS,10.85,2014-01-30
BRL,3.27,2014-01-30
CLP,743.17,2014-01-30
COP,2727.48,2014-01-30
CRC,686.17,2014-01-30
DOP,58.23,2014-01-30
EUR,1.0,2014-01-30
MXN,18.08,2014-01-30
PEN,3.82,2014-01-30
PYG,6346.53,2014-01-30
USD,1.36,2014-01-30
UYU,29.41,2014-01-30
VEF,8.53,2014-01-30
ARS,10.81,2014-01-31
BRL,3.26,2014-01-31
CLP,747.39,2014-01-31
COP,2718.71,2014-01-31
CRC,687.73,2014-01-31
DOP,57.96,2014-01-31
EUR,1.0,2014-01-31
MXN,18.02,2014-01-31
PEN,3.81,2014-01-31
PYG,6320.2,2014-01-31
USD,1.35,2014-01-31
UYU,29.26,2014-01-31
VEF,8.49,2014-01-31
ARS,10.81,2014-02-01
BRL,3.25,2014-02-01
CLP,749.21,2014-02-01
COP,2720.61,2014-02-01
CRC,689.46,2014-02-01
DOP,57.98,2014-02-01
EUR,1.0,2014-02-01
MXN,18.02,2014-02-01
PEN,3.81,2014-02-01
PYG,6328.39,2014-02-01
USD,1.35,2014-02-01
UYU,29.19,2014-02-01
VEF,8.49,2014-02-01
ARS,10.81,2014-02-02
BRL,3.26,2014-02-02
CLP,748.37,2014-02-02
COP,2720.49,2014-02-02
CRC,690.7,2014-02-02
DOP,58.02,2014-02-02
EUR,1.0,2014-02-02
MXN,18.03,2014-02-02
PEN,3.81,2014-02-02
PYG,6330.76,2014-02-02
USD,1.35,2014-02-02
UYU,29.22,2014-02-02
VEF,8.48,2014-02-02
ARS,10.85,2014-02-03
BRL,3.29,2014-02-03
CLP,757.74,2014-02-03
COP,2756.33,2014-02-03
CRC,693.02,2014-02-03
DOP,58.2,2014-02-03
EUR,1.0,2014-02-03
MXN,18.26,2014-02-03
PEN,3.82,2014-02-03
PYG,6347.35,2014-02-03
USD,1.35,2014-02-03
UYU,29.58,2014-02-03
VEF,8.51,2014-02-03
ARS,10.83,2014-02-04
BRL,3.26,2014-02-04
CLP,753.74,2014-02-04
COP,2756.46,2014-02-04
CRC,691.75,2014-02-04
DOP,58.11,2014-02-04
EUR,1.0,2014-02-04
MXN,18.03,2014-02-04
PEN,3.82,2014-02-04
PYG,6330.31,2014-02-04
USD,1.35,2014-02-04
UYU,29.74,2014-02-04
VEF,8.51,2014-02-04
ARS,10.72,2014-02-05
BRL,3.25,2014-02-05
CLP,755.59,2014-02-05
COP,2768.6,2014-02-05
CRC,691.77,2014-02-05
DOP,58.13,2014-02-05
EUR,1.0,2014-02-05
MXN,18.03,2014-02-05
PEN,3.82,2014-02-05
PYG,6321.27,2014-02-05
USD,1.35,2014-02-05
UYU,29.89,2014-02-05
VEF,8.51,2014-02-05
ARS,10.73,2014-02-06
BRL,3.25,2014-02-06
CLP,752.26,2014-02-06
COP,2780.67,2014-02-06
CRC,698.18,2014-02-06
DOP,58.41,2014-02-06
EUR,1.0,2014-02-06
MXN,18.06,2014-02-06
PEN,3.84,2014-02-06
PYG,6327.25,2014-02-06
USD,1.36,2014-02-06
UYU,30.11,2014-02-06
VEF,8.56,2014-02-06
ARS,10.71,2014-02-07
BRL,3.25,2014-02-07
CLP,755.25,2014-02-07
COP,2791.26,2014-02-07
CRC,699.23,2014-02-07
DOP,58.63,2014-02-07
EUR,1.0,2014-02-07
MXN,18.1,2014-02-07
PEN,3.84,2014-02-07
PYG,6305.8,2014-02-07
USD,1.36,2014-02-07
UYU,30.17,2014-02-07
VEF,8.58,2014-02-07
ARS,10.7,2014-02-08
BRL,3.25,2014-02-08
CLP,755.09,2014-02-08
COP,2793.95,2014-02-08
CRC,701.14,2014-02-08
DOP,58.6,2014-02-08
EUR,1.0,2014-02-08
MXN,18.11,2014-02-08
PEN,3.84,2014-02-08
PYG,6293.44,2014-02-08
USD,1.36,2014-02-08
UYU,30.15,2014-02-08
VEF,8.58,2014-02-08
ARS,10.68,2014-02-09
BRL,3.24,2014-02-09
CLP,753.3,2014-02-09
COP,2789.74,2014-02-09
CRC,696.43,2014-02-09
DOP,58.32,2014-02-09
EUR,1.0,2014-02-09
MXN,18.09,2014-02-09
PEN,3.83,2014-02-09
PYG,6277.66,2014-02-09
USD,1.36,2014-02-09
UYU,30.07,2014-02-09
VEF,8.57,2014-02-09
ARS,10.67,2014-02-10
BRL,3.28,2014-02-10
CLP,757.2,2014-02-10
COP,2798.25,2014-02-10
CRC,698.0,2014-02-10
DOP,58.65,2014-02-10
EUR,1.0,2014-02-10
MXN,18.17,2014-02-10
PEN,3.85,2014-02-10
PYG,6255.43,2014-02-10
USD,1.36,2014-02-10
UYU,30.24,2014-02-10
VEF,8.58,2014-02-10
ARS,10.67,2014-02-11
BRL,3.27,2014-02-11
CLP,755.67,2014-02-11
COP,2787.74,2014-02-11
CRC,698.02,2014-02-11
DOP,58.62,2014-02-11
EUR,1.0,2014-02-11
MXN,18.13,2014-02-11
PEN,3.85,2014-02-11
PYG,6226.35,2014-02-11
USD,1.36,2014-02-11
UYU,30.25,2014-02-11
VEF,8.58,2014-02-11
ARS,10.62,2014-02-12
BRL,3.29,2014-02-12
CLP,750.35,2014-02-12
COP,2767.05,2014-02-12
CRC,696.98,2014-02-12
DOP,58.46,2014-02-12
EUR,1.0,2014-02-12
MXN,18.11,2014-02-12
PEN,3.83,2014-02-12
PYG,6159.63,2014-02-12
USD,1.36,2014-02-12
UYU,30.13,2014-02-12
VEF,8.56,2014-02-12
ARS,10.68,2014-02-13
BRL,3.28,2014-02-13
CLP,750.03,2014-02-13
COP,2780.28,2014-02-13
CRC,701.18,2014-02-13
DOP,58.82,2014-02-13
EUR,1.0,2014-02-13
MXN,18.15,2014-02-13
PEN,3.85,2014-02-13
PYG,6176.23,2014-02-13
USD,1.37,2014-02-13
UYU,30.38,2014-02-13
VEF,8.61,2014-02-13
ARS,10.69,2014-02-14
BRL,3.28,2014-02-14
CLP,749.72,2014-02-14
COP,2774.02,2014-02-14
CRC,701.04,2014-02-14
DOP,58.93,2014-02-14
EUR,1.0,2014-02-14
MXN,18.16,2014-02-14
PEN,3.85,2014-02-14
PYG,6122.66,2014-02-14
USD,1.37,2014-02-14
UYU,30.51,2014-02-14
VEF,8.61,2014-02-14
ARS,10.69,2014-02-15
BRL,3.27,2014-02-15
CLP,749.3,2014-02-15
COP,2770.46,2014-02-15
CRC,703.19,2014-02-15
DOP,58.98,2014-02-15
EUR,1.0,2014-02-15
MXN,18.14,2014-02-15
PEN,3.85,2014-02-15
PYG,6110.48,2014-02-15
USD,1.37,2014-02-15
UYU,30.51,2014-02-15
VEF,8.62,2014-02-15
ARS,10.7,2014-02-16
BRL,3.27,2014-02-16
CLP,749.68,2014-02-16
COP,2773.68,2014-02-16
CRC,702.0,2014-02-16
DOP,58.97,2014-02-16
EUR,1.0,2014-02-16
MXN,18.13,2014-02-16
PEN,3.86,2014-02-16
PYG,6113.85,2014-02-16
USD,1.37,2014-02-16
UYU,30.56,2014-02-16
VEF,8.62,2014-02-16
ARS,10.65,2014-02-17
BRL,3.28,2014-02-17
CLP,749.79,2014-02-17
COP,2766.52,2014-02-17
CRC,702.49,2014-02-17
DOP,58.96,2014-02-17
EUR,1.0,2014-02-17
MXN,18.1,2014-02-17
PEN,3.85,2014-02-17
PYG,6101.19,2014-02-17
USD,1.37,2014-02-17
UYU,30.77,2014-02-17
VEF,8.62,2014-02-17
ARS,10.69,2014-02-18
BRL,3.29,2014-02-18
CLP,753.77,2014-02-18
COP,2787.79,2014-02-18
CRC,704.16,2014-02-18
DOP,59.29,2014-02-18
EUR,1.0,2014-02-18
MXN,18.22,2014-02-18
PEN,3.86,2014-02-18
PYG,6126.5,2014-02-18
USD,1.38,2014-02-18
UYU,30.97,2014-02-18
VEF,8.65,2014-02-18
ARS,10.68,2014-02-19
BRL,3.29,2014-02-19
CLP,758.55,2014-02-19
COP,2805.08,2014-02-19
CRC,702.79,2014-02-19
DOP,59.24,2014-02-19
EUR,1.0,2014-02-19
MXN,18.28,2014-02-19
PEN,3.86,2014-02-19
PYG,6108.67,2014-02-19
USD,1.37,2014-02-19
UYU,31.01,2014-02-19
VEF,8.65,2014-02-19
ARS,10.71,2014-02-20
BRL,3.26,2014-02-20
CLP,761.36,2014-02-20
COP,2805.04,2014-02-20
CRC,703.63,2014-02-20
DOP,59.23,2014-02-20
EUR,1.0,2014-02-20
MXN,18.21,2014-02-20
PEN,3.85,2014-02-20
PYG,6103.66,2014-02-20
USD,1.37,2014-02-20
UYU,30.9,2014-02-20
VEF,8.63,2014-02-20
ARS,10.76,2014-02-21
BRL,3.24,2014-02-21
CLP,762.14,2014-02-21
COP,2807.9,2014-02-21
CRC,697.49,2014-02-21
DOP,59.22,2014-02-21
EUR,1.0,2014-02-21
MXN,18.24,2014-02-21
PEN,3.86,2014-02-21
PYG,6129.54,2014-02-21
USD,1.37,2014-02-21
UYU,30.93,2014-02-21
VEF,8.64,2014-02-21
ARS,10.77,2014-02-22
BRL,3.23,2014-02-22
CLP,762.26,2014-02-22
COP,2808.77,2014-02-22
CRC,706.51,2014-02-22
DOP,59.26,2014-02-22
EUR,1.0,2014-02-22
MXN,18.23,2014-02-22
PEN,3.86,2014-02-22
PYG,6131.22,2014-02-22
USD,1.37,2014-02-22
UYU,30.9,2014-02-22
VEF,8.65,2014-02-22
ARS,10.76,2014-02-23
BRL,3.23,2014-02-23
CLP,762.21,2014-02-23
COP,2807.82,2014-02-23
CRC,702.76,2014-02-23
DOP,59.14,2014-02-23
EUR,1.0,2014-02-23
MXN,18.21,2014-02-23
PEN,3.85,2014-02-23
PYG,6129.42,2014-02-23
USD,1.37,2014-02-23
UYU,30.86,2014-02-23
VEF,8.64,2014-02-23
ARS,10.77,2014-02-24
BRL,3.21,2014-02-24
CLP,761.98,2014-02-24
COP,2806.14,2014-02-24
CRC,696.74,2014-02-24
DOP,59.19,2014-02-24
EUR,1.0,2014-02-24
MXN,18.21,2014-02-24
PEN,3.85,2014-02-24
PYG,6117.29,2014-02-24
USD,1.37,2014-02-24
UYU,30.89,2014-02-24
VEF,8.64,2014-02-24
ARS,10.81,2014-02-25
BRL,3.22,2014-02-25
CLP,764.3,2014-02-25
COP,2808.7,2014-02-25
CRC,697.28,2014-02-25
DOP,59.35,2014-02-25
EUR,1.0,2014-02-25
MXN,18.19,2014-02-25
PEN,3.86,2014-02-25
PYG,6100.47,2014-02-25
USD,1.37,2014-02-25
UYU,30.86,2014-02-25
VEF,8.65,2014-02-25
ARS,10.77,2014-02-26
BRL,3.21,2014-02-26
CLP,766.26,2014-02-26
COP,2807.15,2014-02-26
CRC,695.09,2014-02-26
DOP,59.09,2014-02-26
EUR,1.0,2014-02-26
MXN,18.23,2014-02-26
PEN,3.85,2014-02-26
PYG,6075.09,2014-02-26
USD,1.37,2014-02-26
UYU,30.78,2014-02-26
VEF,8.61,2014-02-26
ARS,10.8,2014-02-27
BRL,3.19,2014-02-27
CLP,769.73,2014-02-27
COP,2816.07,2014-02-27
CRC,695.72,2014-02-27
DOP,59.21,2014-02-27
EUR,1.0,2014-02-27
MXN,18.18,2014-02-27
PEN,3.84,2014-02-27
PYG,6081.92,2014-02-27
USD,1.37,2014-02-27
UYU,30.86,2014-02-27
VEF,8.63,2014-02-27
ARS,10.88,2014-02-28
BRL,3.23,2014-02-28
CLP,772.1,2014-02-28
COP,2828.41,2014-02-28
CRC,700.56,2014-02-28
DOP,59.66,2014-02-28
EUR,1.0,2014-02-28
MXN,18.32,2014-02-28
PEN,3.87,2014-02-28
PYG,6123.53,2014-02-28
USD,1.38,2014-02-28
UYU,31.02,2014-02-28
VEF,8.68,2014-02-28
ARS,10.88,2014-03-01
BRL,3.23,2014-03-01
CLP,771.33,2014-03-01
COP,2824.7,2014-03-01
CRC,699.82,2014-03-01
DOP,59.59,2014-03-01
EUR,1.0,2014-03-01
MXN,18.29,2014-03-01
PEN,3.86,2014-03-01
PYG,6115.7,2014-03-01
USD,1.38,2014-03-01
UYU,30.99,2014-03-01
VEF,8.69,2014-03-01
ARS,10.87,2014-03-02
BRL,3.23,2014-03-02
CLP,770.67,2014-03-02
COP,2818.69,2014-03-02
CRC,698.75,2014-03-02
DOP,59.37,2014-03-02
EUR,1.0,2014-03-02
MXN,18.31,2014-03-02
PEN,3.86,2014-03-02
PYG,6108.53,2014-03-02
USD,1.38,2014-03-02
UYU,30.94,2014-03-02
VEF,8.67,2014-03-02
ARS,10.83,2014-03-03
BRL,3.22,2014-03-03
CLP,770.45,2014-03-03
COP,2816.74,2014-03-03
CRC,697.47,2014-03-03
DOP,59.28,2014-03-03
EUR,1.0,2014-03-03
MXN,18.27,2014-03-03
PEN,3.85,2014-03-03
PYG,6076.41,2014-03-03
USD,1.37,2014-03-03
UYU,30.79,2014-03-03
VEF,8.64,2014-03-03
ARS,10.83,2014-03-04
BRL,3.22,2014-03-04
CLP,769.72,2014-03-04
COP,2818.12,2014-03-04
CRC,698.03,2014-03-04
DOP,59.29,2014-03-04
EUR,1.0,2014-03-04
MXN,18.26,2014-03-04
PEN,3.85,2014-03-04
PYG,6076.12,2014-03-04
USD,1.37,2014-03-04
UYU,30.79,2014-03-04
VEF,8.65,2014-03-04
ARS,10.83,2014-03-05
BRL,3.19,2014-03-05
CLP,771.62,2014-03-05
COP,2805.99,2014-03-05
CRC,697.61,2014-03-05
DOP,59.25,2014-03-05
EUR,1.0,2014-03-05
MXN,18.21,2014-03-05
PEN,3.85,2014-03-05
PYG,6085.88,2014-03-05
USD,1.37,2014-03-05
UYU,30.72,2014-03-05
VEF,8.64,2014-03-05
ARS,10.93,2014-03-06
BRL,3.22,2014-03-06
CLP,774.86,2014-03-06
COP,2823.66,2014-03-06
CRC,704.12,2014-03-06
DOP,59.69,2014-03-06
EUR,1.0,2014-03-06
MXN,18.27,2014-03-06
PEN,3.88,2014-03-06
PYG,6137.31,2014-03-06
USD,1.39,2014-03-06
UYU,30.94,2014-03-06
VEF,8.72,2014-03-06
ARS,10.91,2014-03-07
BRL,3.24,2014-03-07
CLP,785.02,2014-03-07
COP,2824.59,2014-03-07
CRC,766.37,2014-03-07
DOP,59.95,2014-03-07
EUR,1.0,2014-03-07
MXN,18.31,2014-03-07
PEN,3.89,2014-03-07
PYG,6137.87,2014-03-07
USD,1.39,2014-03-07
UYU,30.89,2014-03-07
VEF,8.73,2014-03-07
ARS,10.92,2014-03-08
BRL,3.25,2014-03-08
CLP,785.14,2014-03-08
COP,2822.39,2014-03-08
CRC,766.38,2014-03-08
DOP,59.88,2014-03-08
EUR,1.0,2014-03-08
MXN,18.3,2014-03-08
PEN,3.88,2014-03-08
PYG,6133.75,2014-03-08
USD,1.39,2014-03-08
UYU,30.87,2014-03-08
VEF,8.73,2014-03-08
ARS,10.92,2014-03-09
BRL,3.25,2014-03-09
CLP,785.17,2014-03-09
COP,2819.68,2014-03-09
CRC,767.03,2014-03-09
DOP,59.86,2014-03-09
EUR,1.0,2014-03-09
MXN,18.31,2014-03-09
PEN,3.89,2014-03-09
PYG,6147.03,2014-03-09
USD,1.39,2014-03-09
UYU,30.91,2014-03-09
VEF,8.73,2014-03-09
ARS,10.91,2014-03-10
BRL,3.26,2014-03-10
CLP,789.8,2014-03-10
COP,2830.55,2014-03-10
CRC,774.84,2014-03-10
DOP,59.88,2014-03-10
EUR,1.0,2014-03-10
MXN,18.33,2014-03-10
PEN,3.89,2014-03-10
PYG,6144.3,2014-03-10
USD,1.39,2014-03-10
UYU,30.84,2014-03-10
VEF,8.73,2014-03-10
ARS,10.9,2014-03-11
BRL,3.26,2014-03-11
